name
Defects in 2D TMDs
Wafer scale synthesis of TMDs
"2D TMDs for novel logic, memory, and interconnects"
"2D TMDs for excitonic, plasmonic, and photonic devices"
Van der Waals heterostructures of TMDs
Quantum states in 2D TMDs
"2D TMDs for catalysis, energy conversion, and storage"
